	row number	reason	data
2218	2740	Invalid end date	{'account_no': 2740, 'customer_number': 4577, 'age_group': '30-34', 'state': 'NSW', 'postcode': 2026.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Interval', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/8/21', 'cool_off': nan, 'billing_start': '3/9/21', 'billing_end': nan}
2219	2741	Invalid start date	{'account_no': 2741, 'customer_number': 9417, 'age_group': '25-29', 'state': 'QLD', 'postcode': 4169.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/2/21', 'cool_off': '24/2/21', 'billing_start': nan, 'billing_end': '25/2/21'}
2220	2742	Invalid end date	{'account_no': 2742, 'customer_number': 1719, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3079.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/6/21', 'cool_off': nan, 'billing_start': '25/6/21', 'billing_end': nan}
2221	2743	Invalid end date	{'account_no': 2743, 'customer_number': 10985, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3030.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/12/20', 'cool_off': '30/12/20', 'billing_start': '31/12/20', 'billing_end': nan}
2222	2744	Invalid end date	{'account_no': 2744, 'customer_number': 13947, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3109.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '28/4/21', 'cool_off': '13/5/21', 'billing_start': '13/7/21', 'billing_end': nan}
2223	2745	Invalid end date	{'account_no': 2745, 'customer_number': 17470, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3984.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '3/2/21', 'cool_off': '18/2/21', 'billing_start': '17/2/21', 'billing_end': nan}
2224	2747	Invalid end date	{'account_no': 2747, 'customer_number': 1394, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3787.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/11/20', 'cool_off': nan, 'billing_start': '15/12/20', 'billing_end': nan}
2225	2748	Invalid end date	{'account_no': 2748, 'customer_number': 17610, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3055.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '26/9/21', 'cool_off': nan, 'billing_start': '4/10/21', 'billing_end': nan}
2226	2749	Invalid end date	{'account_no': 2749, 'customer_number': 2407, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3173.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '5/6/21', 'cool_off': '21/6/21', 'billing_start': '30/6/21', 'billing_end': nan}
2227	2750	Invalid end date	{'account_no': 2750, 'customer_number': 10376, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3500.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/3/21', 'cool_off': nan, 'billing_start': '12/3/21', 'billing_end': nan}
2228	2751	Invalid end date	{'account_no': 2751, 'customer_number': 14093, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3629.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/3/21', 'cool_off': '25/3/21', 'billing_start': '25/3/21', 'billing_end': nan}
2229	2752	Invalid end date	{'account_no': 2752, 'customer_number': 17265, 'age_group': '25-29', 'state': 'VIC', 'postcode': 3141.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/4/21', 'cool_off': '23/4/21', 'billing_start': '3/5/21', 'billing_end': nan}
2230	2753	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2753, 'customer_number': 16979, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '6/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
2231	2754	Invalid site type	{'account_no': 2754, 'customer_number': 14786, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '29/1/20', 'cool_off': nan, 'billing_start': '25/7/20', 'billing_end': '28/1/21'}
2232	2755	Invalid site type&Invalid end date	{'account_no': 2755, 'customer_number': 1759, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '24/3/20', 'cool_off': nan, 'billing_start': '25/7/20', 'billing_end': nan}
2233	2756	Invalid site type&Invalid end date	{'account_no': 2756, 'customer_number': 1543, 'age_group': '<25', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '7/2/20', 'cool_off': nan, 'billing_start': '25/7/20', 'billing_end': nan}
2234	2757	Invalid site type&Invalid end date	{'account_no': 2757, 'customer_number': 4322, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '19/3/20', 'cool_off': nan, 'billing_start': '25/7/20', 'billing_end': nan}
2235	2758	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2758, 'customer_number': 5823, 'age_group': '65-69', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '10/11/19', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
2236	2759	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2759, 'customer_number': 16312, 'age_group': '<25', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '7/2/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
2237	2760	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2760, 'customer_number': 13380, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '29/1/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
2238	2761	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2761, 'customer_number': 6014, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
2239	2762	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2762, 'customer_number': 4899, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '25/10/21', 'cool_off': '8/11/21', 'billing_start': nan, 'billing_end': nan}
2240	2763	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2763, 'customer_number': 4899, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '25/10/21', 'cool_off': '8/11/21', 'billing_start': nan, 'billing_end': nan}
2241	2764	Invalid end date	{'account_no': 2764, 'customer_number': 5975, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3806.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/10/21', 'cool_off': '27/10/21', 'billing_start': '13/10/21', 'billing_end': nan}
2242	2765	Invalid end date	{'account_no': 2765, 'customer_number': 10890, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3040.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '9/10/21', 'cool_off': '22/10/21', 'billing_start': '12/10/21', 'billing_end': nan}
2243	2766	Invalid end date	{'account_no': 2766, 'customer_number': 13471, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2756.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/12/19', 'cool_off': nan, 'billing_start': '12/2/20', 'billing_end': nan}
2244	2767	Invalid end date	{'account_no': 2767, 'customer_number': 7878, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3056.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 100, 'sale_date': '22/6/20', 'cool_off': '6/7/20', 'billing_start': '14/8/20', 'billing_end': nan}
2245	2768	Invalid end date	{'account_no': 2768, 'customer_number': 16313, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3182.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '20/10/21', 'cool_off': '4/11/21', 'billing_start': '20/10/21', 'billing_end': nan}
2246	2771	Invalid end date	{'account_no': 2771, 'customer_number': 12861, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2031.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/10/21', 'cool_off': '22/10/21', 'billing_start': '12/10/21', 'billing_end': nan}
2247	2772	Invalid end date	{'account_no': 2772, 'customer_number': 17396, 'age_group': '35-39', 'state': 'QLD', 'postcode': 4227.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '19/10/21', 'cool_off': '2/11/21', 'billing_start': '21/10/21', 'billing_end': nan}
2248	2773	Invalid end date	{'account_no': 2773, 'customer_number': 671, 'age_group': '45-49', 'state': 'SA', 'postcode': 5072.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/4/21', 'cool_off': '19/4/21', 'billing_start': '23/4/21', 'billing_end': nan}
2249	2774	Invalid end date	{'account_no': 2774, 'customer_number': 14986, 'age_group': '45-49', 'state': 'VIC', 'postcode': 3216.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '6/1/21', 'cool_off': '21/1/21', 'billing_start': '21/1/21', 'billing_end': nan}
2250	2776	Invalid end date	{'account_no': 2776, 'customer_number': 691, 'age_group': '45-49', 'state': 'SA', 'postcode': 5173.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '18/4/20', 'cool_off': '1/5/20', 'billing_start': '12/5/20', 'billing_end': nan}
2251	2779	Invalid end date	{'account_no': 2779, 'customer_number': 7998, 'age_group': '30-34', 'state': 'NSW', 'postcode': 2567.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '24/9/21', 'cool_off': '11/10/21', 'billing_start': '12/10/21', 'billing_end': nan}
2252	2780	Invalid end date	{'account_no': 2780, 'customer_number': 15890, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3148.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/5/21', 'cool_off': nan, 'billing_start': '25/5/21', 'billing_end': nan}
2253	2781	Invalid end date	{'account_no': 2781, 'customer_number': 402, 'age_group': '30-34', 'state': 'NSW', 'postcode': 2549.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/9/21', 'cool_off': nan, 'billing_start': '17/9/21', 'billing_end': nan}
2254	2782	Invalid end date	{'account_no': 2782, 'customer_number': 5205, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2100.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '28/4/20', 'cool_off': '12/5/20', 'billing_start': '16/7/20', 'billing_end': nan}
2255	2783	Invalid end date	{'account_no': 2783, 'customer_number': 589, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2062.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '7/4/21', 'cool_off': '21/4/21', 'billing_start': '27/4/21', 'billing_end': nan}
2256	2786	Invalid end date	{'account_no': 2786, 'customer_number': 17560, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3228.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/6/20', 'cool_off': '30/6/20', 'billing_start': '30/6/20', 'billing_end': nan}
2257	2787	Invalid end date	{'account_no': 2787, 'customer_number': 9611, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2000.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Interval', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/5/21', 'cool_off': '4/6/21', 'billing_start': '9/6/21', 'billing_end': nan}
2258	2788	Invalid start date&Invalid end date	{'account_no': 2788, 'customer_number': 18008, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3064.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '1/7/20', 'cool_off': '15/7/20', 'billing_start': nan, 'billing_end': nan}
2259	2791	Invalid end date	{'account_no': 2791, 'customer_number': 5164, 'age_group': '45-49', 'state': 'VIC', 'postcode': 3184.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '28/7/21', 'cool_off': '11/8/21', 'billing_start': '12/8/21', 'billing_end': nan}
2260	2792	Invalid end date	{'account_no': 2792, 'customer_number': 637, 'age_group': '60-64', 'state': 'VIC', 'postcode': 3162.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '12/11/20', 'cool_off': '26/11/20', 'billing_start': '25/11/20', 'billing_end': nan}
2261	2793	Invalid end date	{'account_no': 2793, 'customer_number': 4853, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3158.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 100, 'sale_date': '8/6/20', 'cool_off': '22/6/20', 'billing_start': '21/6/20', 'billing_end': nan}
2262	2794	Invalid end date	{'account_no': 2794, 'customer_number': 2546, 'age_group': '50-54', 'state': 'SA', 'postcode': 5000.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/7/20', 'cool_off': '13/8/20', 'billing_start': '14/8/20', 'billing_end': nan}
2263	2795	Invalid end date	{'account_no': 2795, 'customer_number': 487, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2303.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '8/2/21', 'cool_off': '22/2/21', 'billing_start': '23/2/21', 'billing_end': nan}
2264	2796	Invalid end date	{'account_no': 2796, 'customer_number': 16538, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3059.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '19/3/21', 'cool_off': nan, 'billing_start': '6/4/21', 'billing_end': nan}
2265	2798	Invalid start date	{'account_no': 2798, 'customer_number': 7289, 'age_group': '30-34', 'state': 'NSW', 'postcode': 2088.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '11/5/21', 'cool_off': '25/5/21', 'billing_start': nan, 'billing_end': '19/5/21'}
2266	2799	Invalid end date	{'account_no': 2799, 'customer_number': 15077, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3183.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '17/12/20', 'cool_off': '5/1/21', 'billing_start': '5/1/21', 'billing_end': nan}
2267	2800	Invalid end date	{'account_no': 2800, 'customer_number': 10700, 'age_group': '<25', 'state': 'VIC', 'postcode': 3064.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/12/20', 'cool_off': nan, 'billing_start': '15/1/21', 'billing_end': nan}
2268	2801	Invalid end date	{'account_no': 2801, 'customer_number': 3306, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3204.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '17/9/20', 'cool_off': '2/10/20', 'billing_start': '1/10/20', 'billing_end': nan}
2269	2803	Invalid end date	{'account_no': 2803, 'customer_number': 16459, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3084.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '30/7/20', 'cool_off': '13/8/20', 'billing_start': '13/8/20', 'billing_end': nan}
2270	2806	Invalid end date	{'account_no': 2806, 'customer_number': 15349, 'age_group': '40-44', 'state': 'QLD', 'postcode': 4006.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/10/20', 'cool_off': '5/11/20', 'billing_start': '11/11/20', 'billing_end': nan}
2271	2808	Invalid end date	{'account_no': 2808, 'customer_number': 7922, 'age_group': '40-44', 'state': 'SA', 'postcode': 5161.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '4/7/21', 'cool_off': '19/7/21', 'billing_start': '4/8/21', 'billing_end': nan}
2272	2809	Invalid end date	{'account_no': 2809, 'customer_number': 13089, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3041.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/9/21', 'cool_off': '27/9/21', 'billing_start': '30/9/21', 'billing_end': nan}
2273	2810	Invalid start date&Invalid end date	{'account_no': 2810, 'customer_number': 14149, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3109.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '20/3/20', 'cool_off': '3/4/20', 'billing_start': nan, 'billing_end': nan}
2274	2811	Invalid start date&Invalid end date	{'account_no': 2811, 'customer_number': 344, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2785.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '23/9/20', 'cool_off': '9/10/20', 'billing_start': nan, 'billing_end': nan}
2275	2814	Invalid end date	{'account_no': 2814, 'customer_number': 2850, 'age_group': '55-59', 'state': 'SA', 'postcode': 5007.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '15/2/21', 'cool_off': '1/3/21', 'billing_start': '2/3/21', 'billing_end': nan}
2276	2815	Invalid end date	{'account_no': 2815, 'customer_number': 12928, 'age_group': '65-69', 'state': 'VIC', 'postcode': 3241.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/5/21', 'cool_off': '25/5/21', 'billing_start': '25/5/21', 'billing_end': nan}
2277	2817	Invalid start date	{'account_no': 2817, 'customer_number': 8041, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3850.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '5/6/21', 'cool_off': '21/6/21', 'billing_start': nan, 'billing_end': '8/6/21'}
2278	2818	Invalid end date	{'account_no': 2818, 'customer_number': 3826, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3046.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '18/3/21', 'cool_off': '1/4/21', 'billing_start': '1/4/21', 'billing_end': nan}
2279	2819	Invalid end date	{'account_no': 2819, 'customer_number': 8054, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3121.0, 'site_type': 'BUSINESS', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '25/5/20', 'cool_off': '9/6/20', 'billing_start': '9/6/20', 'billing_end': nan}
2280	2820	Invalid end date	{'account_no': 2820, 'customer_number': 10762, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3217.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/12/20', 'cool_off': '16/12/20', 'billing_start': '16/12/20', 'billing_end': nan}
2281	2821	Invalid end date	{'account_no': 2821, 'customer_number': 4604, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3141.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 100, 'sale_date': '5/4/21', 'cool_off': '19/4/21', 'billing_start': '19/4/21', 'billing_end': nan}
2282	2823	Invalid end date	{'account_no': 2823, 'customer_number': 6318, 'age_group': '>69', 'state': 'VIC', 'postcode': 3207.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '15/9/21', 'cool_off': '1/10/21', 'billing_start': '4/10/21', 'billing_end': nan}
2283	2824	Invalid end date	{'account_no': 2824, 'customer_number': 3868, 'age_group': '45-49', 'state': 'SA', 'postcode': 5252.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '15/7/20', 'cool_off': '29/7/20', 'billing_start': '30/7/20', 'billing_end': nan}
2284	2825	Invalid end date	{'account_no': 2825, 'customer_number': 10339, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3016.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '6/11/20', 'cool_off': '20/11/20', 'billing_start': '20/11/20', 'billing_end': nan}
2285	2826	Invalid end date	{'account_no': 2826, 'customer_number': 5189, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3020.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '19/3/20', 'cool_off': '2/4/20', 'billing_start': '6/4/20', 'billing_end': nan}
2286	2827	Invalid end date	{'account_no': 2827, 'customer_number': 9572, 'age_group': '60-64', 'state': 'VIC', 'postcode': 3429.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '8/11/20', 'cool_off': '20/11/20', 'billing_start': '20/11/20', 'billing_end': nan}
2287	2828	Invalid end date	{'account_no': 2828, 'customer_number': 12820, 'age_group': '40-44', 'state': 'QLD', 'postcode': 4503.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '31/3/21', 'cool_off': '16/4/21', 'billing_start': '23/4/21', 'billing_end': nan}
2288	2829	Invalid end date	{'account_no': 2829, 'customer_number': 3523, 'age_group': '50-54', 'state': 'SA', 'postcode': 5050.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '26/5/21', 'cool_off': '9/6/21', 'billing_start': '21/6/21', 'billing_end': nan}
2289	2830	Invalid start date&Invalid end date	{'account_no': 2830, 'customer_number': 11085, 'age_group': '55-59', 'state': 'NSW', 'postcode': 2830.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/6/20', 'cool_off': '13/7/20', 'billing_start': nan, 'billing_end': nan}
2290	2832	Invalid end date	{'account_no': 2832, 'customer_number': 9221, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3057.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '8/8/20', 'cool_off': '21/8/20', 'billing_start': '21/8/20', 'billing_end': nan}
2291	2833	Invalid end date	{'account_no': 2833, 'customer_number': 8071, 'age_group': '60-64', 'state': 'VIC', 'postcode': 3804.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '6/8/20', 'cool_off': '20/8/20', 'billing_start': '19/8/20', 'billing_end': nan}
2292	2834	Invalid end date	{'account_no': 2834, 'customer_number': 6286, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3078.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '9/4/20', 'cool_off': '27/4/20', 'billing_start': '23/4/20', 'billing_end': nan}
2293	2835	Invalid end date	{'account_no': 2835, 'customer_number': 17674, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3280.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '21/5/20', 'cool_off': '4/6/20', 'billing_start': '8/6/20', 'billing_end': nan}
2294	2836	Invalid end date	{'account_no': 2836, 'customer_number': 9269, 'age_group': '>69', 'state': 'VIC', 'postcode': 3698.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '5/11/20', 'cool_off': '19/11/20', 'billing_start': '18/11/20', 'billing_end': nan}
2295	2837	Invalid end date	{'account_no': 2837, 'customer_number': 9890, 'age_group': '25-29', 'state': 'VIC', 'postcode': 3180.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/3/20', 'cool_off': '31/3/20', 'billing_start': '1/4/20', 'billing_end': nan}
2296	2840	Invalid end date	{'account_no': 2840, 'customer_number': 9288, 'age_group': '45-49', 'state': 'SA', 'postcode': 5121.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '8/2/21', 'cool_off': '22/2/21', 'billing_start': '11/5/21', 'billing_end': nan}
2297	2841	Invalid end date	{'account_no': 2841, 'customer_number': 5296, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2125.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '21/5/20', 'cool_off': '4/6/20', 'billing_start': '15/6/20', 'billing_end': nan}
2298	2842	Invalid start date&Invalid end date	{'account_no': 2842, 'customer_number': 15834, 'age_group': '60-64', 'state': 'NSW', 'postcode': 2428.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '24/8/20', 'cool_off': '8/9/20', 'billing_start': nan, 'billing_end': nan}
